assieds toi !	sit down !
tom est reste calme .	tom stayed calm .
il est hongrois .	he s hungarian .
etes vous honnete ?	are you honest ?
puis je y toucher ?	may i touch this ?
excellent !	terrific !
c est un crayon .	that s a pencil .
restez assises .	remain seated .
serais je capable de le faire ?	could i do it ?
j ai mange du caviar .	i ate caviar .
ouvrez le coffre !	open the safe .
les moutons mangent de l herbe .	sheep eat grass .
je ne suis pas un menteur .	i m no liar .
faites aaah !	say aah .
sois honnete .	be fair .
voici une couverture .	here s a blanket .
nous sommes en train de mourir .	we re dying .
aimes tu la confiture ?	do you like jam ?
faites au mieux .	do your best .
j ai ri .	i giggled .
ca m a fait peur .	it scared me .
serait ce de l amour ?	is this love ?
il est votre fils .	he s your son .
tom est en train de parler .	tom is speaking .
il porte des bretelles .	he has braces .
merci bien .	thanks a lot .
il n est pas a la maison .	he isn t at home .
avez vous besoin de lui ?	do you want him ?
j ai besoin de toi maintenant .	i need you now .
c est incroyable .	it s incredible .
je vais bien .	i m ok .
je suis toujours heureuse .	i m always happy .
mes cheveux sont gris .	my hair is gray .
nous sommes medecins .	we are doctors .
je suis clouee .	i m grounded .
personne ne nous a prevenus .	no one warned us .
tiens bon .	hang in there .
il s agissait d un secret .	it was a secret .
tu delires !	get real !
j etais satisfaite .	i was satisfied .
tom sanglotait .	tom was sobbing .
il parle beaucoup .	he talks a lot .
en avons nous termine ?	are we finished ?
tu es fou .	you re crazy .
il faut que je gagne .	i have to win .
il nous faut attaquer .	we must attack .
cela ne va pas faire mal .	it won t hurt .
tom a des chevres .	tom has goats .
nous sommes creves .	we re pooped .
je me porte bien .	i m well .
nous etions en train de gagner .	we were winning .
j aime cet ouvrage .	i like this book .
ouvre tes yeux .	open your eyes .
j etais aneantie .	i was devastated .
camouflez le .	cover it up .
personne n etait la .	nobody was there .
j etais etendue sur mon lit .	i lay on my bed .
je suis impartiale .	i m unbiased .
tom n est pas a l abri .	tom isn t safe .
c est un ange .	she s an angel .
soyez un chic type !	be a good boy .
ne pars pas !	don t leave !
je dois y aller .	i must get going .
vous etes vous amuse ?	did you have fun ?
il fait chaud ici .	it s hot in here .
nous etions chanceux .	we were lucky .
eloignez vous de moi !	get away from me .
thomas plaisante ?	is tom joking ?
il m a pince !	he pinched me !
c est suicidaire .	it s suicidal .
je t en prie ne meurs pas !	please don t die .
j ai cligne des yeux .	i blinked .
tom obeit a marie .	tom obeyed mary .
j ai compris .	i got it .
ne le regarde pas .	don t look at it .
je me suis precipitee .	i hurried .
je me sens jeune .	i feel young .
reste ici .	just stay there .
nous avons du vin .	we have wine .
je les ai soudoyees .	i bribed them .
elles sont coincees .	they re trapped .
je joue au squash .	i play squash .
laisse moi finir .	let me finish .
tu dois payer .	you must pay .
je n y suis pour rien .	don t blame me .
est ce que tom est ici ?	is tom there ?
elle lui fait confiance .	she trusts him .
tom devrait partir .	tom should go .
prends un en cas !	have a snack .
gardez tom en securite .	keep tom safe .
je l ai fait partir .	i made him go .
tom le saura .	tom will know .
j ai enflamme l allumette .	i lit the match .
c est un pauvre type .	he s a jerk .
tom a ete largue .	tom was dumped .
detendez vous !	relax .
il a pris son ouvrage .	he took his book .
repondez au telephone !	answer the phone .
je t ai eue .	i ve got you .
fais juste le boulot .	just do the job .
j apprecie les pique niques .	i like picnics .
enterrez la .	bury it .
je suis coincee ici .	i m stuck here .
je suis a la banque .	i m at the bank .
je travaille dans une ferme .	i work on a farm .
sois bref .	keep it short .
vous avez l air heureuses .	you look happy .
etes vous grande ?	are you tall ?
tu es intrepide .	you re fearless .
personne ne nous l a dit .	no one told us .
tom va parler .	tom ll talk .
j ai attrape une carpe .	i caught a carp .
ca va mal finir .	it ll end badly .
il fut intrigue .	he was intrigued .
je me suis senti deprime .	i felt depressed .
ca ne peut pas attendre .	it can t wait .
ca te plait il ?	do you like this ?
j arrete de fumer .	i quit smoking .
etes vous drogues ?	are you on dope ?
pense positif .	think positive .
peut etre tom a t il oublie .	maybe tom forgot .
il etait invite .	he was invited .
c est votre stylo ?	is this your pen ?
tom vient .	tom s coming .
tom etait mignon .	tom was cute .
pensez y .	think about it .
dieu envoya un ecriteau .	god sent a sign .
tom avait besoin d aide .	tom needed help .
je deteste la chimie .	i hate chemistry .
tom a ete heurte par une voiture .	a car hit tom .
vous en avez fini .	you re through .
envoyez les moi .	send them to me .
il nous faut partir .	we must leave .
je ne suis pas creatif .	i m not creative .
personne n est occupe .	nobody s busy .
tom se rappelait .	tom remembered .
les yeux me font mal .	my eyes are sore .
nous vous avons attrapes .	we caught you .
il s agissait d une blague .	that was a joke .
je ne suis pas sourde .	i m not deaf .
elles vous aimaient .	they loved you .
salut a tous !	hello everyone !
fais de beaux reves !	sweet dreams !
tom s est assis a proximite .	tom sat nearby .
aidez nous s il vous plait !	please help us .
ne cours pas de risques .	don t run risks .
sois minutieuse .	be thorough .
suivez moi .	follow behind me .
he ! quoi de neuf ?	hi ! what s new ?
je refuse .	i refuse .
mon francais est correct .	my french is ok .
j ai ete distrait .	i was distracted .
c est trop long .	that s too long .
j en veux un aussi .	i want one too .
je suis surpris .	i m surprised .
tom a fait de la plongee .	tom dived .
vous etes adorable .	you re adorable .
tiens toi droit .	sit up straight .
je t inviterai .	i ll treat you .
elles sont trop grosses .	they re too fat .
j ai dix huit ans .	i m years old .
je sais bien nager .	i can swim well .
personne ne tricha .	no one cheated .
nous devons partir .	we must go .
se porte t elle bien ?	is she all right ?
passe moi une lampe .	give me a light .
allez aider tom .	go help tom .
lisez le compteur .	read the meter .
il fait trop froid .	it s too cold .
etes vous habille ?	are you dressed ?
nous allons cuisiner .	we ll cook .
ca vous plait ?	do you like this ?
je suis de ton avis .	i agree with you .
je me suis precipite en bas .	i ran downstairs .
je n ai pas de famille .	i have no family .
j essaie .	i m trying .
ou est mon chien ?	where is my dog ?
j aime tom .	i love tom .
tu as l air heureuse .	you look happy .
vous etes des idiots .	you re idiots .
j aime le saumon .	i like salmon .
va jouer avec tom .	go play with tom .
il peut nager vite .	he can swim fast .
apporte moi une chaise .	bring me a chair .
je vous souhaite bonne chance .	i wish you luck .
je suis assez heureuse .	i m happy enough .
vous me manquez tous .	i miss you all .
vous etes trop lentes .	you re too slow .
les animaux sont autorises .	pets are allowed .
je ne vous ai pas vues .	i didn t see you .
bonjour tout le monde !	hello everyone !
je m amuse .	i m having fun .
ignore ca .	ignore that .
appelle moi !	call me .
tom vit une souris .	tom saw a mouse .
fais le de cette maniere .	do it this way .
je suis en liberte conditionnelle .	i m on parole .
j ai mange rapidement .	i ate quickly .
elles peuvent gerer .	they can manage .
je meurs de faim !	i m starved .
il fait sombre a l interieur .	it s dark inside .
souviens en toi .	remember it .
tom est tetu .	tom is stubborn .
ok tu as gagne .	ok you win .
ne le comprenez vous pas ?	don t you get it ?
un chien est en train d aboyer .	a dog is barking .
je me suis remarie .	i got remarried .
sais tu donner le ton ?	can you pitch ?
je suis egalement occupe .	i m busy too .
il est peintre .	he is a painter .
vous etes pardonnee .	you re forgiven .
tom danse bien .	tom dances well .
faites nous faire le tour .	show us around .
elle est mannequin .	she s a model .
decidez vous !	make a decision .
je me sens bien maintenant .	i feel fine now .
tom a vu une souris .	tom saw a mouse .
tom est il conscient ?	is tom conscious ?
nous avons ceux la .	we ve got these .
developpez .	please elaborate .
sois patient .	be patient .
arrete de faire ca !	stop doing that .
je deteste voler .	i hate flying .
je ne pouvais pas parler .	i couldn t speak .
je me plaindrais .	i would complain .
faites comme il vous plaira .	do as you please .
etes vous perdues ?	are you lost ?
tu es implique .	you re involved .
venez m aider .	come help me .
ca n est pas un jeu .	it s not a game .
puis je vous interrompre ?	may i cut in ?
c est du boulot .	it s work .
j ai perdu mes cles .	i lost my keys .
quel grand chien !	what a big dog !
tom est tailleur .	tom is a tailor .
comment se porte votre epouse ?	how s your wife ?
tout le monde le vit .	everyone saw it .
trouve une solution !	find a solution .
fous moi la paix !	leave me alone .
voici ma chambre !	here s my room .
j ai conclu une affaire .	i made a deal .
vous devez partir .	you have to go .
quel naze !	what a loser !
monte le cheval .	get on the horse .
je me suis depeche .	i hurried .
j ai recu de l aide .	i had some help .
recule !	step back .
postule par ecrit .	apply in writing .
il est trop tot .	it s too early .
tom est tout seul .	tom s alone .
je m en debrouillerai .	i ll handle this .
voulez vous avoir des enfants ?	do you want kids ?
un peu de courage !	don t lose heart .
c est dur .	that s hard .
ne demande pas je te prie !	please don t ask .
je vous veux !	i want you .
sois prudent tom .	be careful tom .
je connais votre fils .	i know your son .
je ne suis pas flic .	i m not a cop .
nous eumes raison .	we were right .
nous sommes en train de payer .	we re paying .
c est elles .	that s them .
nous nous faisons du souci .	we re worried .
allons y en taxi .	let s go by taxi .
je n ai pas d idee .	i have no idea .
je suis facile a vivre .	i m easygoing .
il nous faut du temps .	we need time .
je ne le connais pas .	i don t know him .
je ne l ai jamais fait .	i never did that .
jouons a la balle .	let s play catch .
tom se souvient .	tom remembers .
sommes nous toutes la ?	are we all here ?
ce n est pas vrai .	it s not real .
je me sens stupide .	i feel silly .
je me sens revigore .	i feel refreshed .
quelle chance nous avons !	how lucky we are !
j ai regle mes factures .	i paid my bills .
essaie de nouveau .	try it again .
regardez nous .	look at us .
prenons un taxi .	let s take a cab .
je te ferai un proces .	i ll sue you .
assieds toi s il te plait .	please sit down .
je prefererais marcher .	i d rather walk .
ils sont en train de se disputer .	they re arguing .
je suis creative .	i m creative .
c est chouette de te voir !	nice seeing you !
fais attention .	pay attention .
on peut corriger ca .	we can fix this .
tom en voulait plus .	tom wanted more .
comment ca marche ?	how does it work ?
commencons !	let s begin .
les cochons ne volent pas .	pigs can t fly .
j ai saute .	i jumped .
tom ressentait le froid .	tom felt cold .
puis je partir maintenant ?	can i go now ?
j en suis certain .	i m positive .
ils sont bizarres .	they re weird .
elle a besoin de toi .	she needs you .
lachez moi le bras .	let go of my arm .
c est stupide .	that s stupid .
ouvrez le je vous prie !	please open it .
memorise ceci .	remember it .
nous y serons .	we ll be there .
elles sont froides .	they re cold .
tu commences .	you start .
tu es rusee .	you re crafty .
j ai besoin d une arme .	i need a weapon .
arrete de resister !	stop resisting !
je suis au chomage .	i am out of work .
je suis aventureuse .	i m adventurous .
j ai ete condamnee .	i was convicted .
il faut que je dorme .	i have to sleep .
pensez en francais .	think in french .
ne me parle pas !	don t talk to me !
je dois vous aider .	i must help you .
ceux la sont chouettes .	those are nice .
dirigez vous vers le sud .	head south .
nous l avons vu .	we saw it .
elle le poignarda .	she stabbed him .
je ne ronfle pas .	i don t snore .
j ai ete incarceree .	i was detained .
mon pere est a la maison .	my father is in .
elles ont la frousse .	they re jittery .
lachez moi !	let go of me .
enterre le .	bury it .
il m a emue .	he touched me .
c est fantastique !	this is awesome .
laissez tomber .	forget it !
est ce que tom va bien ?	is tom well ?
on m a colle une amende .	i got fined .
qui paiera ?	who will pay ?
voila le hic .	there s the rub .
nettoie le .	clean it up .
nous en avons besoin .	we need it .
tom s est bien debrouille .	tom did well .
ca a failli marcher .	it almost worked .
j etais tres fier .	i was very proud .
nous connaissons tous tom .	we all know tom .
il la nettoya .	he cleaned it up .
elles ont besoin de lui .	they need him .
j aime cette idee .	i like that idea .
prenez ca .	take this .
nous avons termine .	we re through .
quelle est ma recompense ?	what s my prize ?
il est venu !	he has come !
la tele est allumee .	the tv s on .
je sais que ca fait mal .	i know it hurts .
appelle moi demain .	call me tomorrow .
il a raison la dessus .	he has a point .
j adore cette manche .	i love this game .
maintenant laissez nous .	now leave us .
tu es vire .	you re fired .
suis je idiote ?	am i stupid ?
ce n est que du sang .	it s just blood .
je detestais l ecole .	i hated school .
tu me fais marcher !	you re kidding !
j aime le vin rouge .	i like red wine .
pardonne moi !	forgive me .
tom est stone .	tom s stoned .
tu es deloyal .	you re disloyal .
nous avons des bananes .	we have bananas .
je suis desespere .	i m hopeless .
chantez je vous prie !	please sing .
j ai eu une mauvaise journee .	i had a bad day .
sois serieuse !	be serious .
etes vous sures ?	are you sure ?
je fredonne .	i m humming .
tu n es pas mort .	you re not dead .
c est mauvais .	this is bad .
j ai mal ici .	it hurts here .
je me suis fait avoir .	i fell for it .
etes vous seul ?	are you alone ?
m aimez vous ?	do you love me ?
j aime le the .	i like tea .
n espere aucune pitie !	expect no mercy .
je l avais imagine .	i imagined that .
j aime les pruneaux .	i like prunes .
qu est ce qu on s est marrees !	what fun !
tom est une cause perdue .	tom is hopeless .
je veux ce chat .	i want that cat .
j en suis sure a .	i m sure .
je suis prudente .	i m careful .
laisse le entrer .	let him in .
je suis trop gros .	i m too fat .
j en suis sur .	i m positive .
essayez de nager !	try and swim !
c est un renard .	it s a fox .
charlatan !	you charlatan !
ceci est pour toi .	this is for you .
ils sont durs .	they re tough .
tom a besoin de nous .	tom needs us .
et vous ?	how about you ?
j y suis alle aussi .	i went too .
j ai besoin de savon .	i need some soap .
laisse moi essayer a nouveau !	let me try again .
il vient juste de rentrer a la maison .	he just got home .
qui s est porte volontaire ?	who volunteered ?
reste concentree .	stay focused .
elle aime le vin .	she likes wine .
il est puissant .	he s strong .
couvre la table .	set the table .
ne me jugez pas .	don t judge me .
nous nous sommes rendus .	we surrendered .
suis je qualifiee ?	am i qualified ?
tom embrassa mary .	tom kissed mary .
c est tres bon .	it s very good .
c est gentil .	it s sweet .
tom est impassible .	tom is unmoved .
je n ai pas besoin de tom .	i don t need tom .
je t aime au coton .	i love you a lot .
je reflechis .	i m thinking .
il ne peut la lire .	he can t read it .
l heure est passee .	time is up .
vraiment ?	no kidding ?
commencez a chanter .	start singing .
il s est mordu la levre .	he bit his lip .
je suis rationnelle .	i m rational .
j aime les deux .	i like both .
c etait net .	it was clean .
personne n a demande .	nobody asked .
ne le ramasse pas .	don t pick it up .
il est gentil .	he is kind .
peux tu continuer ?	can you continue ?
laisse tom venir .	let tom come .
je lui ai telephone .	i called him up .
en route .	get going .
je me sens impuissante .	i feel powerless .
je vends des ordinateurs .	i sell computers .
y a t il plus ?	is there more ?
vous n etes pas morte .	you re not dead .
elle est deprimee .	she s depressed .
il est sur le point d y aller .	he s about to go .
descends .	come downstairs .
tom s est enrole .	tom enlisted .
tout le monde etait sain et sauf .	everyone was ok .
qui s est echappe ?	who escaped ?
ou est ma bourse ?	where s my bag ?
je me sens pas bien .	i feel lousy .
je suis ravi .	i m thrilled .
gardons cela comme ca .	let s keep it .
elle l embrassa .	she kissed him .
soyez serieuses !	be serious .
je pars demain .	i leave tomorrow .
c est une escroquerie .	this is a scam .
c est une jumelle .	she is a twin .
je tue le temps .	i m killing time .
tom est rentre chez lui .	tom got home .
nous sommes fort occupes .	we re very busy .
je dois t aider .	i must help you .
tom a besoin de travail .	tom needs work .
puis je egalement voir ?	can i see too ?
j ai touche tom .	i touched tom .
comment va ton pied ?	how s your foot ?
lache toi !	get down .
fais ca pour moi .	do that for me .
je me plains beaucoup .	i complain a lot .
continue s il te plait .	please continue .
commence a courir .	start running .
demandez encore a tom .	ask tom again .
prends soin de toi !	take care .
je ne mange pas de viande .	i don t eat meat .
appelle ma fille .	call my daughter .
trouvez tom .	find tom .
vous etes endormis .	you re sleepy .
faites le moi entendre .	let me hear it .
je suis tres grande .	i am very tall .
ce fut magnifique .	it was superb .
tom est important .	tom s important .
montre le chemin .	lead the way .
tom est perturbe .	tom s troubled .
tu es normal .	you re normal .
quel chien massif !	what a big dog !
je fis resonner la cloche .	i rang the bell .
personne ne saura .	no one will know .
tout le monde regarda .	everyone looked .
tom a devine .	tom guessed .
etes vous sur ?	are you sure ?
trace un cercle .	draw a circle .
il pue .	he smells bad .
j ai tres soif .	i m very thirsty .
j ai perdu ma montre .	i lost my watch .
je suis fier de toi .	i m proud of you .
vous etes arrogante .	you re arrogant .
fichez le camp .	get away !
nettoie tout .	wash everything .
je vous ai trahi .	i betrayed you .
arretez ca maintenant .	stop that now .
vous n etes pas laid .	you aren t ugly .
j ai dit pas maintenant .	i said not now .
en ai je les moyens ?	can i afford it ?
tom detestait ca .	tom hated that .
les tigres ronronnent ils ?	do tigers purr ?
je voudrais porter plainte .	i would complain .
dites moi s il vous plait .	please tell me .
je m aime .	i love myself .
nous avons besoin d un medecin .	we need a medic .
je me suis senti enervee .	i felt excited .
tu as l air intelligente .	you look smart .
arrete s il te plait .	please stop .
il se dressa .	he stood up .
nous ne sommes pas en mesure de le faire .	we can t do it .
c est le mien .	it s mine .
il l a trouve .	he found it .
c est la .	it is there .
tu es une puritaine .	you re a prude .
j adore votre fils .	i love your son .
allez tom !	come on tom .
arrete de fredonner .	stop humming .
je suis paresseux .	i m lazy .
as tu vote ?	did you vote ?
je me sens seul .	i m lonely .
fais le delicatement .	do it delicately .
tom semblait aller bien .	tom seemed fine .
j ai eu une dure journee .	i had a hard day .
j ai vole une arme .	i stole a gun .
ca m a explose la tete .	it blew my mind .
fais le vite !	do it quickly .
n y prete pas attention .	never mind !
j ai ete secoue .	i was shaken .
il s est mis en colere .	he got angry .
peuvent ils nous voir ?	can they see us ?
je suis reste cloitre toute la journee .	i was in all day .
ne tombe pas !	don t fall off !
ne laissez pas tomber .	don t give up .
tom a l air calme .	tom seemed calm .
il nous a laissees partir .	he let us go .
il m a fait chanter .	he made me sing .
j ai vendu les livres .	i sold the books .
ce chien a saute .	that dog jumped .
je pense que ca colle .	i think it s ok .
il est sans pitie .	he s ruthless .
j ai egalement pleure .	i cried too .
nous devrions gagner .	we ought to win .
ca ne sert a rien .	it s no use .
je vous sauverai .	i ll save you .
il n y a pas d urgence .	there s no rush .
appelle le s il te plait .	please call him .
il est temps d y aller .	it s time to go .
je peux venir .	i can come .
personne n aime tom .	nobody likes tom .
je sens l odeur de la fumee .	i smell smoke .
la reponse est non .	the answer s no .
il detient une video .	he has a video .
maitrisez vous .	control yourself .
nous sommes ouverts heures sur jours sur .	we re open .
as tu arrete tom ?	did you stop tom ?
arme toi .	arm yourself .
allez !	go ahead !
venez a nous .	come to us .
arrete de me taquiner !	stop teasing me .
le mal triomphe toujours .	evil always wins .
suis je le premier ?	am i first ?
je ne capte pas .	i don t get it .
soyez misericordieuses !	be merciful .
tom est agace .	tom s annoyed .
tu es matinal .	you re early .
tom est sous le choc .	tom is shocked .
tom etait special .	tom was special .
je deteste les carottes .	i hate carrots .
ne meurs pas tom .	tom don t die .
je vous envie .	i envy you .
je vais essayer .	i ll try .
je suis nul en cuisine .	i m a lousy cook .
ce n est pas assez .	it s not enough .
elle le gifla .	she slapped him .
reste alitee !	stay in bed .
il etait indigne .	he was outraged .
je m en rappelle .	i remember .
le bus est lent .	the bus is slow .
j en veux davantage .	i want more .
depeche toi je te prie !	hurry up please .
ne fixez pas .	don t stare .
as tu appele ?	you called ?
tom hurlait .	tom was yelling .
je suis repose .	i m rested .
reste assise .	sit tight .
tom est parti .	tom s left .
j ai besoin du scotch .	i need the tape .
j ai perdu ma clef .	i lost my key .
cela arrive souvent .	it happens a lot .
c est exact .	that s true .
tom te hait .	tom hates you .
faites entrer tom .	show tom in .
ce n est pas mal .	that s not bad .
je ne sais pas dessiner .	i can t draw .
ce n est pas ma taille .	it s not my size .
j aime cette piece .	i like this room .
tom est grand .	tom is tall .
continuons a avancer !	just keep moving .
on etouffe de chaud .	it s sweltering .
je dois y aller .	i have to go .
nous sommes impatients .	we re impatient .
agis en homme .	act like a man .
ne le fais pas !	don t do it !
c est une pipe .	it s a pipe .
il dispose d un appareil photo .	he has a camera .
soyez prudente !	take care .
elles ont souri .	they smiled .
marche .	get moving .
continue a rouler !	drive on .
serieux !	i m not kidding .
j adore ce livre .	i love that book .
faites moi une faveur .	do me a favor .
j en ai termine .	i m through .
il ira egalement .	he will also go .
c est la vie .	that s life .
reste assise .	remain seated .
nous sommes tous la .	we re all here .
n es tu pas en retard ?	aren t you late ?
nous sommes veinardes .	we re in luck .
c est comme une drogue .	it s like a drug .
elles sont toutes deux vivantes .	both are alive .
y allons nous ?	shall we go ?
je fus bonne .	i was good .
c est proche .	it s close .
il te faut partir .	you have to go .
bonne journee !	have a nice day !
personne ne s est derobe .	no one flinched .
fais comme bon te semble .	do as you want .
peux tu voir tom ?	can you see tom ?
chante avec nous !	sing along .
je ne suis pas un espion .	i m not a spy .
c est mignon .	it s sweet .
ne soyez pas alarmees .	don t be alarmed .
tom partirais .	tom would leave .
mon costume est gris .	my suit is gray .
on dirait que tu es fatigue .	you look tired .
je n ai pas bouge .	i didn t move .
resides tu ici ?	do you live here ?
je dois dire non .	i have to say no .
tom m ennuie .	tom bores me .
tom est en haut .	tom is upstairs .
ce chien est massif .	this dog is big .
il ne porte pas de chapeau .	he has no hat on .
obeis a ton pere .	obey your father .
ils ont souri .	they smiled .
prenez le mien .	take mine .
est ce que tu sais pourquoi ?	do you know why ?
il a bu une biere .	he drank a beer .
je suis touchee !	i m hit !
arretez ici !	pull over here .
tu t embrouilles .	you re confused .
il m a fallu cesser .	i had to stop .
tom est devenu fou .	tom went nuts .
les chats revent ils ?	do cats dream ?
il a ete invite .	he was invited .
casse toi de la .	beat it .
je n en suis pas certaine .	i m not sure .
plie le .	fold it .
la voiture s est arretee .	the car stopped .
cela fait il mal ?	does it hurt ?
tom est reste immobile .	tom sat still .
c est la mienne .	that is mine .
il aime la natation .	he likes to swim .
nettoyez le .	clean it up .
j irai ensuite .	i ll go next .
est ce que tu aimes les chiens ?	do you like dogs ?
elle a besoin de vous .	she needs you .
elle detourna le regard .	she looked away .
s agit il d une lettre ?	is this a letter ?
ne soyez pas naif !	don t be naive .
nous vous avons attrape .	we caught you .
nous avons des ponchos .	we have ponchos .
tom sait il chanter ?	can tom sing ?
tu pars ?	are you leaving ?
affaire conclue !	it s a bargain .
je suis affole .	i m frantic .
j ai perdu la partie .	i lost the game .
c est le sien .	that s his .
elles sont libres .	they re free .
reste pres .	stay close .
ne pleurez pas tom .	don t cry tom .
est ce la une riviere ?	is this a river ?
qu ai je fait ?	what did i do ?
nous nous sommes portees volontaires .	we volunteered .
ou est ma biere ?	where s my beer ?
tu es tranquille .	you re quiet .
restez concentrees .	stay focused .
retirez votre chapeau !	remove your hat .
laisse moi partir !	let me leave !
il nous faut un heros .	we need a hero .
maman j ai faim .	mom i m hungry .
il est biologiste .	he s a biologist .
je me suis vraiment depechee .	i really hurried .
pas un geste .	stand still .
thomas avertit marie .	tom warned mary .
restons en contact !	keep in touch !
nous avons un accord .	we have a deal .
faisons plus .	let s do more .
je suis diabetique .	i am diabetic .
c est l heure du diner .	time for dinner .
tom est hideux .	tom s repulsive .
laissez moi controler .	let me check .
je coopererai .	i ll cooperate .
est ce serieux ?	no kidding ?
poussez le .	push it .
tout le monde est mort .	everyone died .
j ai fait du bon travail .	i did a good job .
soyez un homme !	be a man .
elles sont en avance .	they re early .
j ai cause ceci .	i caused this .
je vous prie de dire oui .	please say yes .
le cours est termine .	class dismissed .
on a besoin de moi ici .	i m needed here .
tom est determine .	tom is resolute .
restez un moment !	stay a moment .
informe tom .	let tom know .
je suis toute a vous .	i m all yours .
c est un probleme .	it s a problem .
je suis perplexe .	i m puzzled .
personne ne se trouvait la .	no one was there .
restez tranquilles les filles !	be quiet girls .
j ai juste laisse tomber .	i just gave up .
la connais tu ?	do you know her ?
j ai a nouveau essaye .	i tried again .
il n arrive pas a le faire .	he can t do that .
tom est arrive en avance .	tom came early .
est ce une enigme ?	is that a riddle ?
avez vous deja dine ?	have you had tea ?
j ai perdu ma montre .	i lost the watch .
nous avons termine .	we re finished .
tom a besoin d eau .	tom needs water .
assez !	cut it out .
j ai besoin d un partenaire .	i need a partner .
je l ai attrapee .	i caught it .
tom aime ca .	tom loves it .
bien joue !	well done !
j ai apporte du vin .	i brought wine .
personne ne s en rappelle .	nobody remembers .
c est mon vin .	this is my wine .
vous etes immoral .	you re immoral .
soyez calmes !	be calm .
je suis presque aveugle .	i m nearly blind .
j ai deux voitures .	i have two cars .
je suis tetu .	i m stubborn .
j espere que c est vrai .	i hope it s true .
tom est triste .	tom is sad .
qu est ce que vous desirez ?	what ll it be ?
puis je t aider ?	could i help you ?
c est un raccourci .	it s a shortcut .
je le merite .	i deserve this .
incroyable !	unbelievable !
j ai degueulasse .	i messed up .
je vais au travail .	i go to work .
je suis suffisamment vieux .	i m old enough .
j eus un mouvement de recul .	i cringed .
vous etes tatillons .	you re finicky .
cela a fonctionne pour moi .	it worked for me .
jusqu a quel point etes vous bonnes ?	how good are you ?
prends toi un siege !	grab a seat .
tu mourras .	you will die .
vous etes saoul .	you re drunk .
je suis optimiste .	i m optimistic .
demande moi demain .	ask me tomorrow .
laisse moi faire !	let me handle it .
battez vous comme un homme .	fight like a man .
j etais occupee .	i ve been busy .
vous avez gagne !	you ve won !
je souffre d epilepsie .	i have epilepsy .
il va se briser .	it ll break .
descends ici !	come down here .
je suis innocente .	i m innocent .
vous etes si mechantes .	you re so mean .
je paie des impots .	i pay taxes .
ca ne va pas !	that won t work !
tu es genial .	you re awesome .
je suis en train de me noyer .	i m drowning .
cassez vous .	back off !
agissez en homme .	act like a man .
deverrouillez le .	unlock it .
elles disposent de vin .	they have wine .
tom se sentait heureux .	tom felt happy .
c etait un examen .	that was a test .
laissez moi l entendre .	let me hear it .
nous ne disposions d aucun argent .	we had no money .
j en ai fait l acquisition .	i acquired it .
il faut que j y aille seul .	i must go alone .
je voyage souvent .	i often travel .
j ai senti les poulets .	i smelled bacon .
attendez un moment .	wait a while .
c est effarant .	it s awesome .
je te pardonne .	i forgive you .
oubliez cela .	ignore that .
ne sois pas si paresseuse !	don t be so lazy .
je te souhaite bonne chance .	good luck to you !
tom a besoin d aide .	tom needs help .
je serais prudent .	i d be careful .
c etait un secret .	it was a secret .
oubliez le .	forget him .
avez vous ete blesse ?	were you hurt ?
je ne peux pas te le montrer .	i can t show you .
vous ne vous sentez pas bien ?	do you feel sick ?
ca me plait .	i like that .
t ennuies tu ?	are you bored ?
je deteste halloween .	i hate halloween .
tom aime l art .	tom loves art .
vous pouvez y arriver .	you can make it .
sois gentil avec elle .	be nice to her .
il me faut partir .	i must leave .
je ne suis pas en train de mourir .	i m not dying .
est ce que ca a marche ?	did that work ?
savez vous lancer ?	can you pitch ?
entrez je vous prie .	come right in .
puis je m y rendre ?	may i go ?
faites descendre tom .	send tom down .
nous t enterrerons .	we ll bury you .
ca s ameliorera .	it ll be better .
trouve un boulot !	get a job .
ecoute attentivement .	listen closely .
degage !	get out .
tout est bon .	everything is ok .
elle marche .	she walks .
nous sommes pretes .	we re ready .
laisse tomber .	skip it .
c est possible .	it s possible .
prenez une decision !	make a decision .
comment va ton rhume ?	how s your cold ?
tom a suivi .	tom followed .
tu es fatiguee .	you re tired .
sois serieux .	get serious .
tom est docteur .	tom s a doctor .
j ai menti a ce sujet .	i lied about it .
c est urgent .	it s urgent .
motion rejetee .	motion denied .
vas y !	go ahead .
tom etait cruel .	tom was cruel .
tom est mort .	tom s died .
est ce votre voiture ?	is this your car ?
j entends qu on rit .	i hear laughing .
tom est alle a l interieur .	tom went inside .
il n y a pas de porte .	there s no door .
essayez de nouveau .	try again .
restez ou vous etes !	stand still !
pourquoi pas les deux ?	why not both ?
elles ont eu de la chance .	they were lucky .
peut on s en aller ?	can we leave ?
c est mon chien .	that s my dog .
il est innocent .	he s innocent .
ca a brule .	it burned .
tom a renvoye mary .	tom fired mary .
il a cede .	he gave in .
tu parais fatiguee .	you sound tired .
c est mon patron .	this is my boss .
sois puissante !	be strong .
tu t es mouille ?	did you get wet ?
sois heureux .	be cheerful .
il tint parole .	he kept his word .
attrape tom .	catch tom .
elles m ont laissee m en aller .	they let me go .
tu es si mechante .	you re so mean .
c est votre stylo ?	is that your pen ?
je fus etonne .	i was astonished .
ses yeux sont rouges .	his eyes are red .
il faut que j arrete .	i need to stop .
est ce tellement mauvais ?	is that so bad ?
personne n exprima de desaccord .	no one disagreed .
